State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Odisha,Bhadrak,Summer (Hot Weather),Limited Irrigation,Satabdi; Improved Sabarmati
Haryana,Karnal,Summer,Limited Irrigation,Improved Sabarmati; Jaya; Ratna
Assam,Kamrup,Early Kharif,Limited Irrigation,IR64-Sub1; Pratiksha
Chhattisgarh,Jashpur,Summer,Irrigated,CSR 30; Ratna
West Bengal,Paschim Medinipur,Main Rabi,Irrigated,Swarna; Kalonunia
West Bengal,Alipurduar,Summer,Irrigated,Kalonunia; Gobindobhog
West Bengal,Paschim Medinipur,Early Rabi,Irrigated,GR 11; IR 64; Swarna-Sub1
Tamil Nadu,Kanyakumari,Main Rabi,Irrigated,Lunishree; Hamilton; Pusa 1121
Odisha,Sambalpur,Early Rabi,Irrigated,Khitish; Swarna; MTU-1010
Haryana,Kaithal,Main Kharif,Limited Irrigation,Pooja; Naveen; Anjali
Bihar,Gopalganj,Kharif,Irrigated,IR64-Sub1; MTU-1121
Chhattisgarh,Rajnandgaon,Rabi,Irrigated,Satabdi; Jeeraphool; Jaya; IR 64
Punjab,Hoshiarpur,Late Kharif,Rainfed,Birsa Vikas Dhan 110; Naveen; Punjab Basmati 7
Jharkhand,Deoghar,Kharif,Irrigated,MTU-1318; Sumati; Vijetha; BPT-2231
Karnataka,Mandya,Main Kharif,Irrigated,PAU 201; HKR 47
Chhattisgarh,Dantewada,Late Kharif,Rainfed,Khandagiri; Annada; Birsa Vikas Dhan 109
Haryana,Panipat,Summer,Irrigated,Rasi; CSR 30; IR 64
Uttar Pradesh,Maharajganj,Late Kharif,Rainfed,CR Dhan 40; Annada; Konark
Odisha,Keonjhar,Late Kharif,Rainfed,Khandagiri; Virendra; Udaya
Assam,Dibrugarh,Late Kharif,Irrigated,Samba Mahsuri (BPT-5204); PR 128
West Bengal,Dakshin Dinajpur,Kharif,Limited Irrigation,Konark; Indira
Punjab,Patiala,Kharif,Irrigated,Sumati; MTU-1224
Haryana,Ambala,Summer,Limited Irrigation,Rasi; Khitish; Improved Sabarmati; CSR 30
Karnataka,Kodagu,Kharif,Limited Irrigation,Vandana; Jeerige Sanna
Assam,Dibrugarh,Main Kharif,Rainfed,Anjali; CR Dhan 40
Punjab,Gurdaspur,Main Kharif,Irrigated,MTU-1262; RNR 15048
Assam,Jorhat,Early Kharif,Limited Irrigation,Samba Mahsuri-Sub1; Gayatri; Anjali
Chhattisgarh,Central Zone - Regional,Summer,Irrigated,Improved Sabarmati; Ratna; Jaya; Jeeraphool
Bihar,Rohtas,Kharif,Rainfed,Ranjit; Annada; Sahbhagi Dhan
Punjab,Gurdaspur,Early Kharif,Limited Irrigation,Gayatri; Lalat
West Bengal,Murshidabad,Early Rabi,Irrigated,Kataribhog; Lunishree
Assam,Jorhat,Rabi,Limited Irrigation,Satabdi; Rasi
West Bengal,Purba Medinipur,Main Kharif,Limited Irrigation,SR 26B; Vandana; Udaya
Tamil Nadu,Tiruvarur,Main Rabi,Rainfed,Lunishree; CSR 43; CSR 30
Andhra Pradesh,Guntur,Early Rabi,Irrigated,Rasi; SR 26B; Hamilton
Assam,Bongaigaon,Early Kharif,Rainfed,Pratiksha; Nagina 22; Pooja
Punjab,Hoshiarpur,Late Kharif,Rainfed,Mahanandi; Udaya
Assam,Nagaon,Summer (Hot Weather),Limited Irrigation,Ratna; Samba Mahsuri-Sub1; Satabdi
Tamil Nadu,Tiruvarur,Kharif,Rainfed,MTU-1061; Ranjit; Swarna-Sub1
Andhra Pradesh,Krishna,Early Rabi,Irrigated,GR 11; Satabdi; Hamilton
Karnataka,Dakshina Kannada,Main Kharif,Limited Irrigation,Konark; Swarna-Sub1
Punjab,Muktsar,Rabi,Irrigated,Pusa 1509; Rasi
Andhra Pradesh,West Godavari,Late Kharif,Rainfed,Ranjit; Sahbhagi Dhan; Surendra
Bihar,Rohtas,Summer (Hot Weather),Limited Irrigation,CR Dhan 801; Khitish
Bihar,Madhubani,Rabi,Limited Irrigation,IR64-Sub1; Pusa 1121
Punjab,Faridkot,Summer,Limited Irrigation,Ratna; Rasi
Haryana,Ambala,Early Kharif,Rainfed,Udaya; Mahanandi
Haryana,Fatehabad,Early Rabi,Irrigated,Improved Sabarmati; Khitish
Uttar Pradesh,Muzaffarnagar,Late Kharif,Rainfed,Khandagiri; Kala Namak
Bihar,Samastipur,Late Kharif,Irrigated,Rasi; MTU-1224
Tamil Nadu,Kanyakumari,Early Kharif,Irrigated,JGL 384; PR 128; MTU-1318
Uttar Pradesh,Ghazipur,Main Kharif,Irrigated,PAU 201; MTU-1224; Samba Mahsuri (BPT-5204)
Punjab,Tarn Taran,Main Kharif,Rainfed,Konark; Saket 4; Mahanandi
Odisha,Nuapada,Early Kharif,Limited Irrigation,Naveen; SR 26B; Gayatri
West Bengal,Paschim Medinipur,Main Kharif,Limited Irrigation,Annada; Pratiksha
Karnataka,Mandya,Kharif,Limited Irrigation,Swarna-Sub1; Naveen; Ranjit; Jeerige Sanna
Uttar Pradesh,Pratapgarh,Rabi,Limited Irrigation,MTU-1010; Improved Sabarmati
West Bengal,Bardhaman,Kharif,Irrigated,Kalonunia; Ciherang-Sub1
Bihar,Purba Champaran,Early Kharif,Irrigated,Vijetha; Ciherang-Sub1
Odisha,Bargarh,Summer,Irrigated,Jaya; SR 26B; MTU-1061; CSR 30
Assam,Kamrup,Early Kharif,Irrigated,Swarna (MTU-7029); Vijetha
Haryana,Panipat,Kharif,Rainfed,Indira; Ranjit
Haryana,Jind,Early Rabi,Irrigated,Pusa 1509; Improved Sabarmati; IR 64
Chhattisgarh,Dantewada,Summer (Hot Weather),Limited Irrigation,Improved Sabarmati; Ratna; IR 64
Odisha,Koraput,Late Kharif,Irrigated,MTU-1061; PR 126
Uttar Pradesh,Maharajganj,Main Rabi,Limited Irrigation,Pusa Basmati 1121; Rasi; Khitish
Odisha,Koraput,Kharif,Rainfed,Vandana; Saket 4
Chhattisgarh,Surguja,Early Kharif,Limited Irrigation,Sahbhagi Dhan; Udaya; Swarna-Sub1
Andhra Pradesh,Guntur,Kharif,Rainfed,Naveen; CSR 36; Gayatri; Hamilton
Punjab,Ludhiana,Early Kharif,Rainfed,Udaya; Indira Barani 1
Odisha,Jagatsinghpur,Main Rabi,Irrigated,MTU-1061; Swarna-Sub1
Bihar,Patna,Main Rabi,Limited Irrigation,Swarna; IR64-Sub1; Pusa 1121
Chhattisgarh,Dantewada,Summer,Irrigated,Satabdi; Badshah Bhog
Chhattisgarh,Dantewada,Main Rabi,Limited Irrigation,MTU-1010; Badshah Bhog; Pusa 1121
Karnataka,Bellary,Kharif,Limited Irrigation,Indira; Sahbhagi Dhan
Jharkhand,Dhanbad,Kharif,Rainfed,Pooja; Lalat; Khandagiri; Saket 4
Uttar Pradesh,Maharajganj,Late Kharif,Limited Irrigation,Kala Namak; Lalat
West Bengal,Hooghly,Early Kharif,Rainfed,CSR 36; MCM-100; Badshabhog
Tamil Nadu,Pudukkottai,Rabi,Rainfed,Jaya; MCM-100
West Bengal,North 24 Parganas,Summer (Hot Weather),Limited Irrigation,SR 26B; Boro varieties; Jaya
Tamil Nadu,Thanjavur,Kharif,Rainfed,SR 26B; Swarna-Sub1; Naveen; MCM-100
Punjab,Sangrur,Rabi,Limited Irrigation,Swarna; MTU-1010
Odisha,Bhadrak,Late Kharif,Limited Irrigation,CR Dhan 40; Anjali
Punjab,Faridkot,Late Kharif,Irrigated,MTU-1262; MTU-1318
Bihar,Paschim Champaran,Kharif,Rainfed,Naveen; Sahbhagi Dhan; Indira Barani 1
West Bengal,Paschim Medinipur,Main Rabi,Limited Irrigation,CSR 43; IR 64; Ciherang-Sub1
West Bengal,Paschim Medinipur,Summer (Hot Weather),Irrigated,Ratna; IR64-Sub1; CSR 36
West Bengal,Purulia,Summer (Hot Weather),Irrigated,MTU-1061; CR Dhan 801; Kalonunia
Tamil Nadu,Sivaganga,Summer,Limited Irrigation,CSR 30; Lunishree; CSR 43
Assam,Goalpara,Rabi,Limited Irrigation,CR Dhan 801; Pusa 1509
Odisha,Sambalpur,Summer (Hot Weather),Irrigated,IR64-Sub1; Khitish
Uttar Pradesh,Pratapgarh,Summer,Limited Irrigation,Ratna; Boro varieties; Khitish
Uttar Pradesh,Azamgarh,Early Kharif,Irrigated,RNR 15048; Pusa 44
Andhra Pradesh,East Godavari,Kharif,Rainfed,Birsa Vikas Dhan 109; Naveen
Jharkhand,Gumla,Rabi,Limited Irrigation,Khitish; Satabdi; Swarna; CSR 30
Chhattisgarh,Korba,Summer,Limited Irrigation,Jeeraphool; CSR 30; Vishnu Bhog
Bihar,Patna,Summer (Hot Weather),Limited Irrigation,Jaya; IR 64
Bihar,Darbhanga,Rabi,Irrigated,Satabdi; Ratna
Uttar Pradesh,Barabanki,Kharif,Limited Irrigation,Gayatri; Vandana; Pratiksha; Mahanandi
Assam,Cachar,Late Kharif,Rainfed,Lalat; Swarna-Sub1
Punjab,Rupnagar,Early Kharif,Irrigated,JGL 384; Pusa 44
Karnataka,Tumkur,Summer (Hot Weather),Irrigated,Improved Sabarmati; IR 64; Rasi
Tamil Nadu,Coimbatore,Summer,Limited Irrigation,Improved Sabarmati; IR 64
Bihar,Muzaffarpur,Summer (Hot Weather),Irrigated,Ciherang-Sub1; Improved Sabarmati
Haryana,Kurukshetra,Main Rabi,Irrigated,Rasi; GR 11
Tamil Nadu,Nagapattinam,Summer,Limited Irrigation,Rasi; Lunishree; CSR 30; Boro varieties
Assam,Sibsagar,Summer,Irrigated,Improved Sabarmati; Rasi
West Bengal,Purulia,Late Kharif,Irrigated,JGL 384; Mahsuri; Samba Mahsuri (BPT-5204)
West Bengal,Eastern Zone - Regional,Kharif,Irrigated,JGL 384; IR 64; MTU-1318; MTU-1224
West Bengal,Hooghly,Kharif,Irrigated,JGL 1798; Hamilton
Jharkhand,Paschim Singhbhum,Kharif,Limited Irrigation,Lalat; CR Dhan 40; Anjali; Sahbhagi Dhan
Assam,Kokrajhar,Early Rabi,Irrigated,Improved Sabarmati; Kola Joha; Satabdi
West Bengal,Hooghly,Kharif,Limited Irrigation,Surendra; Lalat; CSR 43; IR64-Sub1
Uttar Pradesh,Chandauli,Main Kharif,Irrigated,PR 126; JGL 384; Samba Mahsuri (BPT-5204)
Punjab,SBS Nagar,Early Kharif,Limited Irrigation,Konark; Pooja; Ranjit
Haryana,Kurukshetra,Summer,Limited Irrigation,Khitish; Jaya
Odisha,Bhadrak,Early Kharif,Limited Irrigation,Khandagiri; Vandana
Uttar Pradesh,Ambedkar Nagar,Main Kharif,Irrigated,JGL 384; Vijetha; MTU-1121
Punjab,Fazilka,Rabi,Limited Irrigation,Khitish; Pusa Basmati 1121
Uttar Pradesh,Bareilly,Early Rabi,Limited Irrigation,Kala Namak; MTU-1010; Pusa 1121
Chhattisgarh,Janjgir-Champa,Rabi,Limited Irrigation,Improved Sabarmati; Jaya; Vishnu Bhog
Chhattisgarh,Durg,Kharif,Limited Irrigation,Anjali; Jeeraphool
Andhra Pradesh,Vizianagaram,Kharif,Irrigated,MTU-1262; MCM-100
Punjab,Ludhiana,Rabi,Irrigated,Pusa Basmati 1121; Khitish
Andhra Pradesh,Nellore,Summer,Irrigated,CSR 30; Boro varieties; CSR 27; IR 64
Punjab,Muktsar,Rabi,Limited Irrigation,Taraori Basmati; Pusa 1121
West Bengal,Murshidabad,Kharif,Limited Irrigation,Anjali; Surendra
Tamil Nadu,Erode,Early Kharif,Irrigated,Swarna (MTU-7029); Sumati; Samba Mahsuri (BPT-5204)
West Bengal,Hooghly,Late Kharif,Limited Irrigation,Annada; Ciherang-Sub1; Konark
Jharkhand,Ranchi,Kharif,Limited Irrigation,Indira; Anjali; Pratiksha; CR Dhan 40
Odisha,Sambalpur,Late Kharif,Irrigated,PR 121; Samba Mahsuri-Sub1
Uttar Pradesh,Azamgarh,Rabi,Limited Irrigation,MTU-1010; Improved Sabarmati; Ratna
Chhattisgarh,Kabirdham,Late Kharif,Irrigated,Vijetha; Dubraj
Punjab,Gurdaspur,Early Rabi,Irrigated,CSR 30; Jaya; MTU-1010
Chhattisgarh,Dhamtari,Early Kharif,Irrigated,IR 64; PR 131; Mahsuri
Uttar Pradesh,Pratapgarh,Late Kharif,Irrigated,Swarna (MTU-7029); Adamchini; HKR 47
Tamil Nadu,Southern Zone - Regional,Summer,Irrigated,Ratna; SR 26B; Lunishree; CSR 36
Uttar Pradesh,Barabanki,Summer,Irrigated,Ratna; Boro varieties
Karnataka,Mandya,Kharif,Irrigated,MTU-1010; PR 131; HKR 47; BPT-2231
Andhra Pradesh,Nellore,Rabi,Limited Irrigation,Khitish; Pusa 1121
Bihar,Bhojpur,Early Kharif,Rainfed,Birsa Vikas Dhan 110; Indira Barani 1
Chhattisgarh,Mahasamund,Summer,Limited Irrigation,IR 64; Dubraj; Improved Sabarmati
Uttar Pradesh,Barabanki,Summer,Irrigated,Kala Namak; Pusa Basmati 1121; Adamchini; Satabdi
Haryana,Karnal,Early Kharif,Rainfed,Surendra; Saket 4; Sahbhagi Dhan
West Bengal,Nadia,Main Rabi,Limited Irrigation,GR 11; Khitish; Tulaipanji
Chhattisgarh,Bilaspur,Late Kharif,Rainfed,Indira; Pooja
Bihar,Rohtas,Early Kharif,Rainfed,Konark; Naveen
Uttar Pradesh,Muzaffarnagar,Main Rabi,Limited Irrigation,Khitish; GR 11; Pusa Basmati 1121
Jharkhand,Ranchi,Late Kharif,Irrigated,Mahsuri; Swarna (MTU-7029); JGL 384
Chhattisgarh,Janjgir-Champa,Summer,Irrigated,Badshah Bhog; IR 64
Odisha,Cuttack,Main Kharif,Irrigated,PAU 201; Swarna-Sub1
Odisha,Nuapada,Summer (Hot Weather),Irrigated,IR 64; IR64-Sub1
Punjab,Sangrur,Kharif,Rainfed,Udaya; Vandana
Haryana,Karnal,Kharif,Irrigated,PR 130; Samba Mahsuri (BPT-5204)
Chhattisgarh,Bilaspur,Early Rabi,Limited Irrigation,Vishnu Bhog; Jeeraphool
Jharkhand,Bokaro,Late Kharif,Irrigated,RNR 15048; JGL 1798
West Bengal,Hooghly,Early Kharif,Rainfed,Kataribhog; Swarna-Sub1; Badshabhog
Jharkhand,Bokaro,Summer (Hot Weather),Irrigated,Satabdi; Jaya
Andhra Pradesh,Chittoor,Rabi,Limited Irrigation,CSR 27; Satabdi
Tamil Nadu,Kanyakumari,Early Kharif,Limited Irrigation,Lalat; Khandagiri; Anjali
Karnataka,Mandya,Summer (Hot Weather),Limited Irrigation,Jaya; Boro varieties; Rasi
Jharkhand,Deoghar,Kharif,Irrigated,MTU-1121; PR 121; IR 64
West Bengal,Hooghly,Kharif,Rainfed,Gobindobhog; Tulaipanji; Anjali
Chhattisgarh,Janjgir-Champa,Main Kharif,Rainfed,Indira; Virendra
Chhattisgarh,Sukma,Kharif,Rainfed,Ranjit; Dubraj
Jharkhand,Gumla,Main Kharif,Limited Irrigation,Anjali; Pratiksha
West Bengal,Jalpaiguri,Early Kharif,Rainfed,Radhunipagal; Annada; Kalonunia
Uttar Pradesh,Sant Ravidas Nagar,Late Kharif,Irrigated,MTU-1010; BPT-2231; PR 121
Bihar,Gopalganj,Rabi,Irrigated,Satabdi; Khitish; MTU-1010
Andhra Pradesh,Nellore,Main Rabi,Limited Irrigation,Hamilton; Satabdi
Uttar Pradesh,Ballia,Early Kharif,Limited Irrigation,Pusa Basmati 1121; Naveen
Chhattisgarh,Janjgir-Champa,Early Kharif,Limited Irrigation,Konark; Pooja; Lalat
Andhra Pradesh,Visakhapatnam,Main Kharif,Rainfed,Indira; Pooja; Udaya
Chhattisgarh,Bastar,Summer,Irrigated,Jeeraphool; IR 64; Khitish
Uttar Pradesh,Varanasi,Rabi,Irrigated,Pusa Basmati 1121; Satabdi
Uttar Pradesh,Sitapur,Summer (Hot Weather),Limited Irrigation,Rasi; CSR 30; Jaya
Bihar,Khagaria,Late Kharif,Limited Irrigation,Gayatri; Annada; Vandana
West Bengal,Birbhum,Rabi,Irrigated,Pusa 1121; Ratna; Kalonunia; Improved Sabarmati
Karnataka,Koppal,Rabi,Irrigated,MTU-1010; GR 11
West Bengal,Bardhaman,Rabi,Rainfed,Nagina 22; Pusa 1509; Badshabhog
West Bengal,North-Eastern Plains - Regional,Rabi,Rainfed,Khitish; Gobindobhog; Pusa 1509; IR 64
Bihar,Bhagalpur,Kharif,Limited Irrigation,Indira; Mahanandi
West Bengal,Howrah,Summer,Irrigated,CSR 30; Tulaipanji
Assam,Nagaon,Kharif,Limited Irrigation,Ranjit; Khandagiri; Vandana; Anjali
West Bengal,Nadia,Kharif,Rainfed,Nagina 22; MCM-100; Indira
Assam,Tinsukia,Summer (Hot Weather),Limited Irrigation,Swarna-Sub1; Joha Rice
Uttar Pradesh,Mau,Summer (Hot Weather),Irrigated,Boro varieties; Satabdi; Adamchini
Jharkhand,Hazaribagh,Kharif,Rainfed,Vandana; Udaya
Odisha,Kendrapara,Summer (Hot Weather),Irrigated,CSR 43; Swarna-Sub1; SR 26B
Punjab,Ludhiana,Summer,Limited Irrigation,Punjab Basmati 7; Boro varieties
West Bengal,Purulia,Summer,Limited Irrigation,CSR 43; CSR 36
Assam,Dibrugarh,Rabi,Limited Irrigation,Improved Sabarmati; Joha Rice; GR 11; Pusa 1509
Andhra Pradesh,Srikakulam,Rabi,Irrigated,Khitish; Satabdi
Bihar,Bhojpur,Summer,Limited Irrigation,CR Dhan 801; Swarna-Sub1; IR64-Sub1; Ratna
Uttar Pradesh,Jaunpur,Kharif,Rainfed,Birsa Vikas Dhan 109; Naveen
Punjab,Kapurthala,Main Kharif,Limited Irrigation,CR Dhan 40; Udaya
Andhra Pradesh,Kadapa,Kharif,Limited Irrigation,SR 26B; Surendra; Indira; CSR 27
West Bengal,Purulia,Early Kharif,Rainfed,CSR 27; Vandana; SR 26B
Tamil Nadu,Ramanathapuram,Kharif,Rainfed,SR 26B; Saket 4; Sahbhagi Dhan; Hamilton
Chhattisgarh,Raigarh,Late Kharif,Irrigated,Swarna (MTU-7029); Rasi
Andhra Pradesh,Srikakulam,Late Kharif,Irrigated,Samba Mahsuri (BPT-5204); MCM-100; Swarna (MTU-7029)
West Bengal,Dakshin Dinajpur,Late Kharif,Irrigated,Lunishree; CR Dhan 801
Uttar Pradesh,Azamgarh,Rabi,Limited Irrigation,Taraori Basmati; Kala Namak; Rasi; Jaya
Karnataka,Koppal,Kharif,Limited Irrigation,Ranjit; Annada
Bihar,Bhojpur,Main Kharif,Rainfed,Vandana; Sahbhagi Dhan
Karnataka,Uttar Kannada,Main Rabi,Irrigated,Mysore Mallige; Khitish; Pusa 1509
Karnataka,Uttar Kannada,Summer,Irrigated,Rasi; Mysore Mallige
Bihar,Gaya,Kharif,Limited Irrigation,Vandana; Indira
Bihar,All,Summer,Limited Irrigation,Boro varieties; CSR 30; Khitish
Assam,Tinsukia,Kharif,Irrigated,MTU-1010; Swarna (MTU-7029); Pusa 44
Chhattisgarh,Dantewada,Late Kharif,Limited Irrigation,Mahanandi; Udaya
Punjab,Moga,Summer,Irrigated,Satabdi; IR 64; CSR 30
Karnataka,Mandya,Kharif,Limited Irrigation,Gayatri; Anjali
Punjab,Gurdaspur,Late Kharif,Limited Irrigation,Konark; Mahanandi
Bihar,Begusarai,Summer (Hot Weather),Limited Irrigation,Jaya; Ratna
West Bengal,Alipurduar,Kharif,Rainfed,Surendra; Anjali
Bihar,Gaya,Summer,Irrigated,Khitish; Satabdi
Odisha,Kendrapara,Early Rabi,Limited Irrigation,Hamilton; CSR 43
West Bengal,Paschim Medinipur,Early Kharif,Irrigated,MTU-1010; Rasi; JGL 384
Haryana,Karnal,Kharif,Rainfed,Nagina 22; Indira
Jharkhand,Hazaribagh,Main Kharif,Rainfed,Surendra; Nagina 22
Andhra Pradesh,Nellore,Summer,Limited Irrigation,Improved Sabarmati; Hamilton
Andhra Pradesh,East Godavari,Rabi,Limited Irrigation,IR 64; CSR 27; MTU-1061; SR 26B
Andhra Pradesh,Nellore,Early Kharif,Rainfed,SR 26B; CSR 36; Hamilton
West Bengal,Jalpaiguri,Main Rabi,Rainfed,Saket 4; Virendra
Andhra Pradesh,West Godavari,Kharif,Limited Irrigation,Sahbhagi Dhan; SR 26B; Khandagiri; Pooja
Uttar Pradesh,Ghazipur,Late Kharif,Irrigated,Pusa 44; MTU-1224; Sumati
Uttar Pradesh,Barabanki,Rabi,Limited Irrigation,Rasi; Swarna
Uttar Pradesh,Varanasi,Main Kharif,Rainfed,Birsa Vikas Dhan 110; CR Dhan 40; Indira
West Bengal,Malda,Rabi,Irrigated,CSR 30; IR 64
Assam,Cachar,Kharif,Limited Irrigation,Indira; Udaya
Assam,Bongaigaon,Late Kharif,Limited Irrigation,Pratiksha; IR64-Sub1; Khandagiri
Haryana,Yamunanagar,Late Kharif,Limited Irrigation,Udaya; Konark
Andhra Pradesh,Krishna,Rabi,Irrigated,SR 26B; Khitish; Pusa 1509
Jharkhand,Dhanbad,Early Kharif,Irrigated,PR 130; RNR 15048; BPT-2231
Bihar,Patna,Summer,Irrigated,Satabdi; Ratna
Uttar Pradesh,Sant Ravidas Nagar,Summer (Hot Weather),Limited Irrigation,Taraori Basmati; Ratna
Karnataka,Mandya,Kharif,Rainfed,Birsa Vikas Dhan 109; Lalat; Udaya
Odisha,Balasore,Summer (Hot Weather),Limited Irrigation,Ratna; Khitish; CSR 30
Uttar Pradesh,Pilibhit,Summer,Irrigated,Adamchini; Rasi
Karnataka,Bellary,Kharif,Limited Irrigation,CR Dhan 40; Udaya
Odisha,Bolangir,Early Kharif,Rainfed,CSR 36; Indira
Chhattisgarh,Bilaspur,Main Rabi,Irrigated,MTU-1010; IR 64
Odisha,Rayagada,Summer (Hot Weather),Limited Irrigation,Rasi; SR 26B; IR64-Sub1
Chhattisgarh,Bilaspur,Summer,Limited Irrigation,Improved Sabarmati; Dubraj
West Bengal,Purulia,Late Kharif,Rainfed,Vandana; Birsa Vikas Dhan 109; Pratiksha
Odisha,Balasore,Kharif,Rainfed,Lalat; Annada
Karnataka,Kodagu,Late Kharif,Irrigated,MTU-1262; Mysore Mallige
Uttar Pradesh,Barabanki,Early Rabi,Irrigated,Rasi; Kala Namak
Assam,Darrang,Late Kharif,Irrigated,IR 64; JGL 384; MTU-1121
Karnataka,Koppal,Early Kharif,Irrigated,PR 126; Swarna (MTU-7029)
Andhra Pradesh,East Godavari,Summer,Limited Irrigation,Hamilton; SR 26B
West Bengal,Cooch Behar,Summer (Hot Weather),Irrigated,CSR 30; Gobindobhog
Karnataka,Koppal,Rabi,Irrigated,GR 11; Jaya; Improved Sabarmati
Chhattisgarh,Bastar,Kharif,Irrigated,Vishnu Bhog; MTU-1318; PR 126
Andhra Pradesh,West Godavari,Rabi,Irrigated,Rasi; IR 64
Uttar Pradesh,Shahjahanpur,Main Rabi,Limited Irrigation,Khitish; IR 64
Haryana,Yamunanagar,Late Kharif,Irrigated,MTU-1318; Rasi
Chhattisgarh,Raigarh,Early Rabi,Irrigated,Dubraj; MTU-1010
Andhra Pradesh,Nellore,Rabi,Irrigated,CSR 30; MCM-100; GR 11
Haryana,Yamunanagar,Main Kharif,Limited Irrigation,Swarna-Sub1; Vandana
Punjab,Rupnagar,Early Kharif,Limited Irrigation,Ranjit; CR Dhan 40
Punjab,Fatehgarh Sahib,Main Kharif,Irrigated,MTU-1010; IR 64; Punjab Basmati 7
Andhra Pradesh,West Godavari,Main Kharif,Rainfed,Surendra; CSR 27
Andhra Pradesh,Visakhapatnam,Rabi,Rainfed,Swarna; Nagina 22
Uttar Pradesh,Mau,Rabi,Irrigated,IR 64; Swarna
Chhattisgarh,Jashpur,Early Kharif,Rainfed,Nagina 22; Swarna-Sub1; Indira Barani 1
Haryana,Hisar,Late Kharif,Rainfed,Indira Barani 1; Udaya; Saket 4
Bihar,Purba Champaran,Late Kharif,Irrigated,IR64-Sub1; PAU 201; Pusa 44
West Bengal,Cooch Behar,Summer,Irrigated,SR 26B; Jaya
Karnataka,Koppal,Kharif,Irrigated,Jeerige Sanna; MTU-1121; Sumati
Punjab,Fatehgarh Sahib,Summer (Hot Weather),Limited Irrigation,Boro varieties; Improved Sabarmati; Jaya
Andhra Pradesh,West Godavari,Early Rabi,Irrigated,Khitish; MCM-100; IR 64
Uttar Pradesh,Siddharthnagar,Main Kharif,Irrigated,Vijetha; Samba Mahsuri (BPT-5204); HKR 47
Jharkhand,Dhanbad,Main Kharif,Irrigated,PR 131; PR 121
Tamil Nadu,Tiruvarur,Summer (Hot Weather),Irrigated,Boro varieties; Hamilton
Haryana,Jind,Kharif,Rainfed,Nagina 22; Birsa Vikas Dhan 109
Tamil Nadu,Erode,Late Kharif,Limited Irrigation,Naveen; CSR 27; Pratiksha
Punjab,Rupnagar,Late Kharif,Limited Irrigation,Anjali; Khandagiri; Punjab Basmati 7
Assam,Tinsukia,Main Kharif,Rainfed,Indira; Vandana; Pratiksha
Chhattisgarh,Raipur,Kharif,Rainfed,Ranjit; Indira
Karnataka,Kodagu,Late Kharif,Limited Irrigation,Udaya; Mysore Mallige
West Bengal,Bardhaman,Late Kharif,Limited Irrigation,MCM-100; Naveen; Sahbhagi Dhan
Andhra Pradesh,Kurnool,Late Kharif,Irrigated,PR 121; MTU-1010
Uttar Pradesh,Amethi,Rabi,Limited Irrigation,Taraori Basmati; Rasi
West Bengal,Purulia,Main Kharif,Rainfed,CSR 43; Indira
Uttar Pradesh,Sultanpur,Main Kharif,Limited Irrigation,Taraori Basmati; Surendra
Bihar,Aurangabad,Summer (Hot Weather),Irrigated,Ciherang-Sub1; IR 64; Rasi
Assam,Nagaon,Kharif,Limited Irrigation,Ciherang-Sub1; Joha Rice; Pratiksha; Bora Rice
Haryana,Kurukshetra,Rabi,Limited Irrigation,Ratna; GR 11
Tamil Nadu,Tiruvarur,Main Rabi,Irrigated,Khitish; GR 11
Chhattisgarh,Korba,Early Rabi,Limited Irrigation,Pusa 1121; Dubraj; Jeeraphool
Jharkhand,Hazaribagh,Late Kharif,Rainfed,Birsa Vikas Dhan 110; Konark
Odisha,Mayurbhanja,Rabi,Irrigated,Khitish; MTU-1010; Hamilton
West Bengal,North 24 Parganas,Summer,Irrigated,SR 26B; CR Dhan 801
Chhattisgarh,Jashpur,Rabi,Limited Irrigation,Pusa 1121; Improved Sabarmati
Assam,Kamrup,Summer,Limited Irrigation,Jaya; Satabdi
Tamil Nadu,Erode,Early Kharif,Rainfed,Mahanandi; CSR 43; MCM-100
Punjab,Sangrur,Kharif,Limited Irrigation,Taraori Basmati; Ranjit; Mahanandi; Pratiksha
West Bengal,Darjeeling,Early Kharif,Limited Irrigation,Samba Mahsuri-Sub1; Lunishree
Jharkhand,Bokaro,Early Rabi,Limited Irrigation,Satabdi; MTU-1010; Rasi
Odisha,Sambalpur,Rabi,Irrigated,Lunishree; SR 26B
Assam,Dibrugarh,Summer (Hot Weather),Irrigated,Khitish; CR Dhan 801; Ratna
Tamil Nadu,Villupuram,Early Rabi,Rainfed,MTU-1061; Jaya
Punjab,SBS Nagar,Summer (Hot Weather),Irrigated,Boro varieties; Jaya
Tamil Nadu,Villupuram,Main Rabi,Rainfed,Saket 4; Improved Sabarmati
Jharkhand,Lohardaga,Kharif,Rainfed,Surendra; Ranjit; Mahanandi
Uttar Pradesh,Ballia,Early Rabi,Limited Irrigation,Khitish; Pusa 1509; Pusa Basmati 1121
West Bengal,North 24 Parganas,Kharif,Irrigated,CSR 36; CR Dhan 801
Karnataka,Shimoga,Early Rabi,Irrigated,Swarna; CSR 30
Uttar Pradesh,Sultanpur,Early Kharif,Limited Irrigation,CR Dhan 40; Khandagiri
Chhattisgarh,Bastar,Rabi,Irrigated,Improved Sabarmati; CSR 30; IR 64
